Name,Address,City,State
MAYFAIR VILLAGE,3310 TATES CREEK ROAD,Lexington,KY
HARVEY'S,200 W MAIN ST,Lexington,KY
MCDONALD'S,357 SOUTH LIMESTONE,Lexington,KY
MCDONALD'S RESTAURANT #989,2321 VERSAILLES RD,Lexington,KY
MCDONALD'S RESTAURANT #1231,2483 NICHOLASVILLE ROAD,Lexington,KY
MCDONALD'S,1499 RUSSELL CAVE RD.,Lexington,KY
MCDONALD'S,2271 ELKHORN DRIVE,Lexington,KY
MCDONALD'S #6111,1114 E NEW CIRCLE RD,Lexington,KY
MCDONALD'S,4131 TATES CREEK CTR,Lexington,KY
CAMBRIDGE PLACE,2020 CAMBRIDGE DRIVE,Lexington,KY
MEADOWTHORPE ELEM SCHOOL,1710 FORBES RD,Lexington,KY
TRINITY HILLS FOOD SERVICE,3600 TATES CREEK RD,Lexington,KY
MEALS ON WHEELS,460 EAST MAIN STREET,Lexington,KY
MERRICK INN,1074 MERRICK DRIVE,Lexington,KY
MILLCREEK ELEMENTARY SCHOOL,3660 APPIAN WAY,Lexington,KY
CITGO FOOD MART,705 LOUDON AVENUE,Lexington,KY
G MART,2353 PARIS PIKE,Lexington,KY
BLUEGRASS MART,464 SQUIRES CIRCLE,Lexington,KY
ATHENS FOOD MART,5522 ATHENS-BOONESBORO ROAD,Lexington,KY
MORTON MIDDLE SCHOOL,1225 TATES CREEK RD,Lexington,KY
MIMI'S SOUTHERN STYLE COOKING,126 E NEW CIRCLE ROAD,Lexington,KY
DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",Lexington,KY
NORTHERN ELEMENTARY SCHOOL,340 ROOKWOOD PKWY,Lexington,KY
O'CHARLEY'S #209,2895 RICHMOND ROAD,Lexington,KY
O'CHARLEY'S #212,2270 NICHOLASVILLE ROAD,Lexington,KY
OFFICE LOUNGE,1533 EASTLAND PARKWAY,Lexington,KY
OLEIKA SHRINE TEMPLE,326 SOUTHLAND DRIVE,Lexington,KY
COMEDY OFF BROADWAY,161 LEXINGTON GRN CIRCLE #C-4,Lexington,KY
ORIGINAL GREAT AMERICAN COOKIES,3401 NICHOLASVILLE ROAD #134,Lexington,KY
PAISANO'S RESTAURANT,2417 NICHOLASVILLE ROAD,Lexington,KY
PARKETTE,1230 NEW CIRCLE RD NE,Lexington,KY
PEPPERHILL PRE-SCHOOL,2104 EASTWAY DRIVE,Lexington,KY
PICADOME ELEMENTARY SCHOOL,1642 HARRODSBURG RD,Lexington,KY
SUBWAY,386 WOODLAND AVENUE,Lexington,KY
THE WEST INDIES FRIED CHICKEN,2213 VERSAILLES ROAD,Lexington,KY
"CENTRO, LOLA II LLC DBA",113 CHEAPSIDE PARK,Lexington,KY
HILTON LEXINGTON DOWNTOWN,369 W. VINE STREET,Lexington,KY
RAFSKELLER @ TRANSYLVANIA UNIVERSITY,300 N BROADWAY,Lexington,KY
RED LOBSTER #0188,2550 NICHOLASVILLE RD,Lexington,KY
RED MILE - WAGERS,1101 WINBAK WAY,Lexington,KY
BAYOU BLUEGRASS CATERING@,861 S BROADWAY,Lexington,KY
SPEARMINT RHINO,5539 ATHENS-BOONESBORO ROAD,Lexington,KY
RICHMOND PLACE,3051 RIO DOSA DRIVE,Lexington,KY
BAD WOLF BURGERS,350 FOREMAN AVE,Lexington,KY
ROSE MANOR,3057 N. CLEVELAND ROAD,Lexington,KY
JAX,161 LEXINGTON GREEN CIRCLE,Lexington,KY
RUSSELL CAVE ELEMENTARY,3375 RUSSELL CAVE RD,Lexington,KY
TRANSYLVANIA UNIVERSITY CAFE,300 NORTH BROADWAY,Lexington,KY
SAYRE HEALTHCARE CENTER,3775 BELLEAU WOOD DR.,Lexington,KY
SAYRE SCHOOL CAFETERIA,194 N LIMESTONE ST,Lexington,KY
SAYRE CHRISTIAN VILLAGE,3816 CAMELOT DR,Lexington,KY
CHUCK E CHEESE,1555 NEW CIRCLE RD,Lexington,KY
SIGEE'S,2143 NORTH BROADWAY,Lexington,KY
SIR PIZZA,131 EAST REYNOLDS ROAD,Lexington,KY
MARIKKA'S RESTAURANT,411 SOUTHLAND DRIVE,Lexington,KY
PIZZA HUT #2966,393 WALLER AVE,Lexington,KY
SIR PIZZA COMMISSARY,2604 RICHMOND ROAD,Lexington,KY
BANGKOK HOUSE,275 AVENUE OF CHAMPIONS - BASEMENT,Lexington,KY
JOSIE'S GRAB N GO,821 CHEVY CHASE PLACE,Lexington,KY
SOUTHERN ELEMENTARY SCHOOL,340 WILSON DOWNING RD,Lexington,KY
SOUTHERN MIDDLE SCHOOL,400 WILSON DOWNING RD,Lexington,KY
300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,Lexington,KY
SPEEDWAY #9394,1001 GEORGETOWN RD,Lexington,KY
SPINDLETOP RESTAURANT,3414 IRON WORKS PIKE,Lexington,KY
SPRING VALLEY GOLF CLUB,2300 SANDERSVILLE ROAD,Lexington,KY
SPUDS TAVERN,"3130 PIMLICO PARKWAY, STE. 101",Lexington,KY
R & R ENTERTAINMENT DBA SQUIRES TAVERN,3429 BUCKHORN DR #3,Lexington,KY
ST. JOSEPH HOSPITAL,1 ST. JOSEPH DRIVE,Lexington,KY
ST. PETER AND PAUL SCHOOL,133 BARR ST,Lexington,KY
COOKOUT,855 S BROADWAY,Lexington,KY
STELLA'S KY DELI,143 JEFFERSON STREET,Lexington,KY
STONEWALL ELEMENTARY SCHOOL,3251 CORNWALL DR,Lexington,KY
BEAR AND THE BUTCHER,815 EUCLID AVE,Lexington,KY
SURVIVORS,161 E. REYNOLDS ROAD,Lexington,KY
"RED STATE BARBECUE, RED PHOENIX LLC, DBA",4020 GEORGETOWN RD,Lexington,KY
SPEEDWAY #9658,900 WINCHESTER RD,Lexington,KY
SPEEDWAY #9667,716 NORTH BROADWAY,Lexington,KY
SPEEDWAY #9675,819 S LIMESTONE ST,Lexington,KY
SPEEDWAY #9591,2301 VERSAILLES RD,Lexington,KY
SPEEDWAY #9704,447 NEW CIRCLE ROAD,Lexington,KY
SPEEDWAY #9621,2490 NICHOLASVILLE RD,Lexington,KY
SPEEDWAY #9593,2900 RICHMOND RD,Lexington,KY
SPEEDWAY #9512,515 EUCLID AVE,Lexington,KY
