,Name,Street,City,State
471,CRACKER BARREL OLD COUNTRY STORE #19,1927 STANTON WAY,Lexington,Kentucky
474,CRACKER BARREL OLD COUNTRY STORE #77,2220 ELKHORN RD,Lexington,Kentucky
478,CRANK & BOOM,119 MARION SUITE 150,Lexington,Kentucky
480,CRAWFORD MIDDLE SCHOOL,1813 CHARLESTON DR,Lexington,Kentucky
481,CREATION KINGDOM,2935 TRAILWOOD LANE,Lexington,Kentucky
483,CREATIVE BEGINNINGS,2050 VERSAILLES RD. PEDS BLDG.,Lexington,Kentucky
484,"CREATIVE KIDS CHILD CARE, INC.",2385 HUGUENARD DRIVE,Lexington,Kentucky
485,CREAUX,310 W SHORT ST,Lexington,Kentucky
486,CRESTWOOD CHRISTIAN CHILDCARE CENTER,1882 BELLEFONTE DR,Lexington,Kentucky
487,CRITCHFIELD MEATS,2220 NICHOLASVILLE RD STE. 166,Lexington,Kentucky
489,CROSSINGS LEXINGTON,117 N LIMESTONE ST,Lexington,Kentucky
491,CROSSROADS IGA - STORE # 761,2656 ABIGAIL WAY,Lexington,Kentucky
493,CRU A WINE BAR AND RESTAURANT,107 SUMMIT AT FRITZ FARMS #120,Lexington,Kentucky
494,CRUMZZ BAR AND GRILL,"395 SOUTH LIMESTONE, STE. 110",Lexington,Kentucky
496,CULVER'S RESTAURANT,360 MEIJER WAY,Lexington,Kentucky
499,CURRY HOUSE,2220 NICHOLASVILLE RD,Lexington,Kentucky
501,DAD'S FAVORITES,"820 LANE ALLEN, STE 148",Lexington,Kentucky
503,DAD'S FAVORITES LLC @ BLUE STALLION,610 W THIRD ST,Lexington,Kentucky
504,DAIRY QUEEN,3509 LANSDOWNE DRIVE,Lexington,Kentucky
509,DAIRY QUEEN #309,350 VIRGINIA AVE,Lexington,Kentucky
510,DARAE & FRIENDS,"3459 BUCKHORN DR., #140",Lexington,Kentucky
512,DEEP SPRINGS SCHOOL,1919 BRYNELL DR,Lexington,Kentucky
513,DEJA VU,"485 NEW CIRCLE RD, NW",Lexington,Kentucky
514,"DELI MART, INC., THE",1009 GEORGETOWN ROAD,Lexington,Kentucky
516,DENNY'S #8766,1880 NEWTOWN PIKE,Lexington,Kentucky
518,DENNY'S #8770,1949 NICHOLASVILLE RD,Lexington,Kentucky
522,DEPOT DELICATESSEN,"5751 BRIAR HILL ROAD, BLD 226",Lexington,Kentucky
526,DICKEY'S BBQ PIT,"1315 WINCHESTER RD., SUITE 325",Lexington,Kentucky
529,DISMAS CHARITIES LEXINGTON,909 GEORGETOWN ROAD,Lexington,Kentucky
530,DIVA'S,1318 RUSSELL CAVE RD.,Lexington,Kentucky
531,DIXIE ELEMENTARY SCHOOL,1940 EASTLAND PKWY,Lexington,Kentucky
533,DOMINO'S,3090 HELMSDALE #300,Lexington,Kentucky
534,DOMINO'S 1359,"125 TOWNE CENTER DR, STE 127",Lexington,Kentucky
535,DOMINO'S PIZZA,3101 CLAYS MILL RD,Lexington,Kentucky
539,DOMINO'S PIZZA  #  1406,130 TIVERTON WAY-WEST,Lexington,Kentucky
541,DOMINO'S PIZZA  #180,524 WEST NEW CIRCLE RD,Lexington,Kentucky
542,DOMINO'S PIZZA #1405,3120 PIMLICO PARKWAY #116,Lexington,Kentucky
544,DONATO'S,728 E. MAIN STREET,Lexington,Kentucky
546,DONATO'S PIZZA,265 NEW CIRCLE ROAD,Lexington,Kentucky
547,DONATO'S PIZZA - BEAUMONT CTR.,3070 LAKECREST CIRCLE,Lexington,Kentucky
